事前,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,17,18,19
[1]ご年齢,57,40,40,18,43,19,40,36,32,40,38,30,32,29,33,35,,,
[2]ご職種,会社員,主婦,データアナリスト,大学生,主婦,大学生,会社員,会社員,新聞編集者,自営業(アパレル),会社役員IT,会社員,会社員,会社員(スポーツ団体),会社員,医療職(看護師),,,
[3]サッカーは好きだ,5,5,5,5,3,5,5,4,5,5,5,5,3,4,5,5,,,
[4]ARやVRなどデジタルテクノロジーに親しみがある,2,2,5,5,3,5,3,2,3,4,5,2,3,3,2,4,,,
[5]デジタル・テクノロジー展示は好きだ,3,3,5,5,3,5,3,2,3,5,5,3,3,4,3,4,,,
[6]今日はどのようなきっかけで来場しましたか?,目的まで時間があるので,"サッカーに興味があるので。
子供がサッカーをしているので。",通りかかりました,サッカーが好きだから,子供と。子供がサッカー好きなので,友達のおすすめ,近くに用事があったので、サッカーも好きだし来ました,近くに用事があったので。,日本サッカーの事を知りたい,サッカーのblue-ingに行きたかったので,子どものシアターGロッソ講演の参加,友人のすすめ,"友人のすすめ
推し活",気になっていたから,ぷらっと立ち寄った。,通りすがり,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
事後,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,17,18,19
[1]DIGITAL COLLECTION展示を見ましたか?,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい,はい
[2]DIGITAL COLLECTION展示の満足度について教えて下さい。,3,5,3,4,4,2,3,3,3,5,5,4,3,4,3,2,,,
[3]ROAD TO 2050などの実物展示を使った展示の満足度について教えて下さい。,3,5,3,4,4,2,4,4,4,5,5,5,5,5,4,3,,,
[4]DIGITAL COLLECTION展示の内容のわかりやすさについてどう感じましたか?,3,4,4,5,4,1,3,3,4,5,5,3,3,4,3,3,,,
"[5]ROAD TO 2050などの実物展示とDIGITAL COLLECTION展示を比べてどちらが良かったですか?
以下の項目に答えて下さい.",,,,,,,,,,,,,,,,,,,
[a]見た目の印象,1,2,1,4,2,2,1,1,2,5,2,2,1,2,2,3,,,
[b]操作のしやすさ,3,,,,,3,,,3,,,,,,,,,,
"[c]情報の理解しやすさ
(例:展示内容の説明、詳細情報の表示)",1,2,4,5,3,3,3,4,2,3,4,2,1,2,2,3,,,
[d]楽しさ,1,2,3,5,4,3,1,3,2,5,3,3,1,3,3,3,,,
"[6]AR/VRの経験がある方にお聞きします。
DIGITAL COLLECTION展示(3Dディスプレイ)との違いを感じましたか?
(複数選択可)",,,,,,,,,,,,,,,,,,,
[a]見た目がリアル,,5,5,3,,1,4,4,2,5,5,,,3,2,3,,,
[b]体験が楽しい,,5,5,4,,2,3,3,2,5,4,,,2,4,3,,,
[c]操作がしやすい,,4,4,4,,2,3,3,2,4,5,,,4,3,2,,,
[d]手軽だった,,5,5,4,,2,3,3,2,4,5,,,4,3,3,,,
[7]DIGITAL COLLECTION展示において良かったと思うものを教えて下さい。(複数選択可),トロフィー,"ボール,シューズ,トロフィー","ボール,トロフィー",ユニフォーム,"ボール,トロフィー","シューズ,メダル","シューズ,カード","シューズ,カード","ユニフォーム,シューズ",ボール,"ワッペン,ボール,ユニフォーム,シューズ,トロフィー",ボール,ボール,ボール,"ユニフォーム,トロフィー","トロフィー,メダル",,,
[8]DIGITAL COLLECTION展示において悪かったと思うものを教えて下さい。(複数選択可),トロフィー,,ワッペン,ホイッスル,,ボール,,,すねあて,すねあて,カード,カード,ボール,カード,シューズ,すねあて,,,
[9]見なかった理由を教えて下さい。,,,,,,,,,,,,,,,,,,,
その他を選んだ方は、以下に理由を記入して下さい,,,,,,,,,,,,,,,,,,,
